,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HomeElo,AwayElo,LastGame_home,LastGame_away,PastShot_home,PastShot_away,PastGoaldiff_home,PastGoaldiff_away
3310,16,5,5,2,8,12,4,6,1,2,0,0,1699.9642906441336,1481.6598177083265,6,7,131,99,14,0
3311,15,11,7,3,14,5,2,7,3,1,0,0,1289.0983147789761,1402.4364706826784,7,7,110,108,-7,-7
3312,10,11,3,1,12,16,11,1,2,2,0,0,1827.5940837502123,1294.4524297616701,8,8,156,112,3,2
3313,12,10,6,1,10,9,2,4,0,2,0,0,1469.56884766575,1396.406492401015,7,7,115,105,-6,-5
3314,7,6,0,2,8,15,3,2,0,2,0,0,1395.6007025677438,1433.6271483493922,14,14,105,106,-7,-6
3315,14,6,8,0,9,7,5,8,2,0,0,1,1701.5418878577968,1295.1282930606396,7,7,139,115,15,-3
3316,5,20,1,7,16,11,5,11,4,2,1,0,1566.1015070890476,1956.0073779519357,10,12,98,119,0,13
3317,14,17,5,3,14,7,3,5,2,1,0,0,1335.870665545793,1294.215122302794,13,6,91,117,-13,0
3318,12,11,8,2,5,6,4,5,1,0,0,0,1480.0822204946633,1957.5779183421346,7,14,101,159,-2,4
3319,20,11,7,5,10,14,6,5,0,1,0,0,1518.1536566731393,1629.645351728348,7,14,127,110,-2,-9
3320,13,13,3,4,14,7,9,8,3,3,0,0,1958.2663882705554,1827.8313912090885,11,7,140,146,8,1
3321,10,14,3,6,9,8,8,3,1,1,0,0,1377.3393698037373,1957.644853519192,15,15,89,187,-8,12
3322,12,8,6,3,12,13,5,1,3,3,0,0,1903.11957763032,1636.7506064629163,14,15,151,151,16,-1
3323,13,19,2,7,9,6,3,7,2,0,0,0,1298.4699915222568,1908.5058532159137,14,13,118,146,-3,14
3324,24,8,11,3,12,14,9,3,3,2,0,0,1959.8418473677516,1401.5597186500695,14,14,125,102,11,-6
3325,7,12,3,4,16,9,5,5,2,2,0,0,1294.4031227716498,1504.960363056275,14,14,108,122,-7,-2
3326,23,10,10,2,7,11,10,4,1,4,0,0,1642.8386453452124,1562.2670376732317,14,14,114,98,-6,1
3327,10,9,6,4,17,10,2,3,1,3,0,0,1832.5080447950297,1702.2670581467867,13,14,154,133,0,19
3328,18,3,3,1,15,13,6,1,3,3,0,0,1958.4164879209109,1498.1197263059182,13,14,191,106,12,-1
3329,14,12,4,3,14,8,6,3,1,0,0,0,1631.3643308773226,1472.8316948911204,13,14,145,116,-4,-7
3330,23,11,10,3,12,8,13,9,1,3,0,0,1427.6681322670665,1331.6157963263302,14,14,103,98,-7,-11
3331,8,14,3,5,8,15,3,8,3,2,0,0,1939.5404125308796,1953.589734684614,15,14,164,137,3,5
3332,15,8,3,1,9,16,11,3,2,3,0,0,1393.1436451756445,1376.5677354020186,15,14,101,91,-4,-9
3333,7,15,3,2,9,16,3,5,3,2,0,0,1297.9692224410355,1551.7392137817963,3,3,120,91,-4,-3
3334,19,15,8,3,12,13,5,6,0,1,0,0,1653.3664692366478,1318.9688020664232,3,3,125,98,-5,-9
3335,18,11,3,4,10,18,6,5,1,4,0,1,1951.2092982522795,1692.5029308795051,3,3,183,125,10,14
3336,9,18,2,2,11,14,5,6,1,4,1,0,1440.3151265269735,1505.3269159745496,3,3,120,101,-3,-3
3337,21,7,8,2,11,5,5,0,2,2,0,0,1945.2655428841686,1488.199020129658,3,4,146,126,2,-1
3338,10,17,4,7,10,14,2,9,1,3,0,0,1940.8588016848523,1947.8646043313252,4,3,131,142,8,6
3339,17,12,5,4,13,12,8,4,2,1,0,0,1311.1644656982667,1371.0212475362166,4,3,98,90,-4,-8
3340,20,7,8,2,11,8,7,2,1,1,0,0,1842.2721720623113,1472.57782567795,4,4,143,116,2,-7
3341,25,17,9,3,16,11,11,11,2,1,0,0,1631.618200090493,1420.5427643329688,4,4,150,103,-1,-3
3342,4,18,1,8,7,8,5,7,1,1,0,0,1398.6901330414464,1909.006622297135,3,4,105,146,-5,13
3343,12,15,1,5,7,11,4,4,2,3,0,0,1472.3477646243755,1958.557825187795,3,3,115,130,-5,11
3344,23,6,7,1,6,8,7,3,0,2,0,0,1930.1655808283824,1329.554406342909,3,3,145,101,4,-4
3345,12,7,5,2,9,12,4,3,0,3,0,0,1352.6313068915742,1316.953404015136,3,4,93,118,-10,-4
3346,9,14,4,4,7,11,5,8,0,2,0,0,1532.7550322076959,1842.5022331158857,4,3,92,150,-6,2
3347,19,8,6,2,12,12,7,5,0,1,0,0,1909.1088100607167,1458.2724742061137,3,4,155,120,13,1
3348,17,10,6,3,12,12,7,3,2,2,0,0,1487.3695682954094,1646.403637314705,4,3,116,165,-1,2
3349,14,4,6,1,12,12,4,3,5,1,0,0,1481.6951372514952,1398.5879452778647,3,3,119,97,-7,-3
3350,12,6,7,4,8,15,4,6,2,2,0,0,1691.5015260690543,1661.660726205443,5,5,130,134,10,-3
3351,9,18,4,9,14,20,4,5,1,5,1,0,1310.674545097628,1952.2107030627303,5,5,103,169,-11,9
3352,17,11,6,3,11,10,5,8,0,1,0,0,1405.7573271087567,1951.7694257623314,5,5,113,145,-4,3
3353,15,6,4,2,10,16,8,5,0,2,0,0,1425.7135735438487,1642.9044656539052,5,6,120,133,2,-2
3354,29,13,7,6,15,14,6,7,2,0,0,0,1710.2577866205922,1308.6843997303329,6,7,126,112,11,-3
3355,8,18,1,5,9,8,3,8,3,0,0,0,1646.8946575933196,1935.663487557183,7,7,163,155,6,10
3356,14,14,4,3,12,5,3,7,0,2,0,0,1532.5162165857844,1324.0564996141084,7,7,95,98,-7,-4
3357,14,7,4,3,14,10,8,1,1,0,0,1,1310.6480546399125,1499.9561497455784,6,7,98,120,-12,-8
3358,24,5,14,1,8,10,13,1,0,1,0,0,1927.5569296934061,1472.2390736473967,7,7,153,112,13,-7
3359,15,13,7,4,8,13,6,2,0,0,0,0,1439.8243545734242,1380.3269327837816,7,7,116,95,-3,-5
3360,9,5,3,0,16,20,1,3,3,3,0,0,1952.2371935204458,1958.6665161647738,7,8,174,137,10,10
3361,7,15,2,2,15,9,4,4,3,1,0,0,1486.8785480167949,1842.7410487377972,8,8,119,148,-4,4
3362,13,12,5,4,11,16,2,4,2,2,0,0,1360.9003111763773,1931.8131793272394,9,7,100,142,-10,0
3363,20,5,10,2,4,14,4,3,0,2,0,1,1453.376386124995,1360.8680657484947,7,5,107,102,-9,-9
3364,8,13,3,2,10,11,4,7,3,1,1,0,1306.6364146120097,1458.6931154374743,7,7,106,121,-6,-2
3365,10,9,6,3,5,14,11,4,2,2,0,0,1361.4581719197315,1549.936301587883,7,7,97,95,-7,-5
3366,15,4,3,0,9,15,8,4,2,3,0,0,1490.2456579519464,1723.802116388813,7,7,121,141,-4,13
3367,8,12,0,6,17,16,3,3,2,1,0,0,1295.1400699621122,1971.4496052319375,8,7,101,174,-6,12
